Country,Adolescent Mortality Rate,Gdp Per Capita
Eritrea,1245.994277,16009.24305
Mali,1272.867768,30587.39592
Cameroon,1275.415707,79662.98858
Zambia,1364.11093,69237.74879
Djibouti,1373.227014,28962.77772
Sudan,1408.794382,61493.55774
Liberia,1431.068627,98267.54181
Niger,1436.319838,35143.42627
Malawi,1437.757718,26346.61984
Mozambique,1439.177844,16471.2082
Equatorial Guinea,1493.852393,220879.5749
Uganda,1511.986085,25478.41856
Central African Republic,1559.651246,31735.94858
Guinea-Bissau,1601.893748,31396.00617
Ethiopia,1621.809283,23130.41578
Guinea,1624.967118,33997.22918
"Congo, the Democratic Republic of the",1853.945313,49296.88366
Burundi,1876.19037,20686.54705
Chad,1924.654657,32406.25005
Angola,2029.931213,110382.6171
South Sudan,2034.256976,13462.89623
Somalia,2097.104824,19348.45521
Sierra Leone,2097.439717,57593.2624
Rwanda,3018.148954,28753.48726
